date,type,cost,
202001,여행업,1.29E+10,
202001,운송업,8.48E+10,
202001,쇼핑업,4.90E+11,
202001,여가서비스업,5.09E+10,
202001,식음료업,8.71E+11,
202001,숙박업,5.73E+10,
202002,여가서비스업,4.14E+10,
202002,식음료업,8.19E+11,
202002,쇼핑업,4.38E+11,
202002,운송업,5.68E+10,
202002,여행업,4.33E+09,
202002,숙박업,4.92E+10,
202003,숙박업,4.23E+10,
202003,여행업,3.18E+09,
202003,운송업,5.05E+10,
202003,쇼핑업,4.67E+11,
202003,여가서비스업,4.05E+10,
202003,식음료업,8.55E+11,
202004,여행업,2.87E+09,
202004,식음료업,8.85E+11,
202004,여가서비스업,4.07E+10,
202004,운송업,5.27E+10,
202004,숙박업,4.40E+10,
202004,쇼핑업,4.93E+11,
202005,숙박업,5.58E+10,
202005,여행업,2.54E+09,
202005,운송업,6.22E+10,
202005,쇼핑업,5.63E+11,
202005,여가서비스업,4.87E+10,
202005,식음료업,9.57E+11,
202006,숙박업,5.40E+10,
202006,식음료업,9.30E+11,
202006,여가서비스업,4.74E+10,
202006,쇼핑업,5.11E+11,
202006,운송업,6.12E+10,
202006,여행업,2.61E+09,
202007,숙박업,5.27E+10,
202007,식음료업,9.09E+11,
202007,여가서비스업,4.92E+10,
202007,운송업,6.07E+10,
202007,여행업,2.74E+09,
202007,쇼핑업,4.84E+11,
202008,숙박업,5.49E+10,
202008,여행업,2.97E+09,
202008,운송업,5.64E+10,
202008,쇼핑업,4.65E+11,
202008,여가서비스업,5.11E+10,
202008,식음료업,8.10E+11,
202009,숙박업,4.25E+10,
202009,식음료업,7.62E+11,
202009,여가서비스업,4.05E+10,
202009,쇼핑업,5.00E+11,
202009,운송업,5.21E+10,
202009,여행업,2.50E+09,
202010,식음료업,9.36E+11,
202010,여행업,3.07E+09,
202010,여가서비스업,5.23E+10,
202010,쇼핑업,5.71E+11,
202010,운송업,6.63E+10,
202010,숙박업,5.56E+10,
202011,숙박업,5.79E+10,
202011,여행업,2.84E+09,
202011,운송업,6.56E+10,
202011,쇼핑업,5.41E+11,
202011,여가서비스업,4.67E+10,
202011,식음료업,9.52E+11,
202012,숙박업,5.50E+10,
202012,여행업,2.15E+09,
202012,운송업,4.93E+10,
202012,쇼핑업,5.34E+11,
202012,여가서비스업,3.43E+10,
202012,식음료업,7.68E+11,
{
      name: "여행업",
      values: [
        { date: "January", price: "1.29e10" },
        { date: "February", price: "4.33e09" },
        { date: "March", price: "3.18e09" },
        { date: "April", price: "2.87e09" },
        { date: "May", price: "2.54e09" },
        { date: "June", price: "2.61e09" },
        { date: "July", price: "2.74e09" },
        { date: "August", price: "2.97e09" },
        { date: "September", price: "2.50e09" },
        { date: "October", price: "3.07e09" },
        { date: "November", price: "2.84e09" },
        { date: "December", price: "2.15e09" },
      ],
    },