순위,관광지명,카테고리,검색건수
1,속초관광수산시장,쇼핑,"678,396"
2,강원랜드카지노,문화관광,"521,783"
3,경포해변,자연관광,"489,654"
4,속초해변,자연관광,"439,714"
5,주문진항,자연관광,"388,488"
6,낙산사,역사관광,"370,982"
7,비발디파크오션월드,문화관광,"295,630"
8,안목해변,자연관광,"294,869"
9,대포항,자연관광,"290,849"
10,남이섬,자연관광,"285,150"
11,설악케이블카,기타관광,"259,335"
12,원주소금산출렁다리,기타관광,"248,349"
13,주문진수산시장,쇼핑,"228,062"
14,대관령양떼목장,기타관광,"218,513"
15,강원랜드,문화관광,"214,181"
16,동명항,자연관광,"202,136"
17,정동진,문화관광,"183,552"
18,휘닉스평창,문화관광,"179,531"
19,월정사,역사관광,"165,435"
20,설악산국립공원,자연관광,"160,943"
21,강릉중앙시장,쇼핑,"149,251"
22,오크밸리CC,레저스포츠,"147,771"
23,정선아리랑시장,쇼핑,"139,364"
24,소양강스카이워크,문화관광,"136,512"
25,묵호항,자연관광,"134,859"
26,장호항,자연관광,"134,708"
27,낙산해변,자연관광,"131,994"
28,휴휴암,역사관광,"126,104"
29,정동심곡바다부채길,레저스포츠,"121,806"
30,속삭이는자작나무숲,자연관광,"121,716"
31,경포대,역사관광,"112,299"
32,영금정전망대,문화관광,"109,973"
33,고성통일전망대,문화관광,"109,231"
34,서피비치,레저스포츠,"105,497"
35,강문해변,자연관광,"99,969"
36,하조대해변,자연관광,"90,646"
37,센추리21CC,레저스포츠,"90,330"
38,삼척항,자연관광,"89,663"
39,속초항,자연관광,"87,444"
40,도깨비촬영지(영진해변),문화관광,"85,846"
41,제이드가든,문화관광,"83,951"
42,고석정국민관광지,문화관광,"80,864"
43,오죽헌,역사관광,"79,770"
44,망상해수욕장,자연관광,"79,573"
45,엘리시안강촌CC,레저스포츠,"78,587"
46,외옹치항,자연관광,"76,114"
47,오크밸리스노우파크,레저스포츠,"74,864"
48,샤인데일골프앤리조트,레저스포츠,"72,187"
49,미로예술원주중앙시장,쇼핑,"71,536"
50,뮤지엄산,문화관광,"71,467"
51,설악워터피아,문화관광,"71,216"
52,하이원워터월드,문화관광,"69,723"
53,백담사,역사관광,"68,237"
54,오색약수터,자연관광,"67,976"
55,촛대바위,기타관광,"67,067"
56,주문진해변,자연관광,"64,974"
57,엘리시안강촌스키장,레저스포츠,"64,288"
58,양양전통시장,쇼핑,"64,212"
59,클럽모우GC,레저스포츠,"64,207"
60,더플레이어스골프클럽,레저스포츠,"64,087"
61,환선굴,자연관광,"62,354"
62,임원항,자연관광,"61,943"
63,알파카월드,기타관광,"61,183"
64,죽도해변,자연관광,"60,218"
65,휘닉스평창블루캐니언,문화관광,"59,367"
66,정동진해변,자연관광,"58,442"
67,송지호해변,자연관광,"58,127"
68,강릉항,자연관광,"57,590"
69,인제스피디움,레저스포츠,"56,976"
70,아야진해수욕장,자연관광,"56,484"
71,아바이마을갯배청호동선착장,기타관광,"55,056"
72,CGV춘천,문화관광,"54,107"
73,화천산천어축제,문화관광,"53,890"
74,월정사전나무숲,기타관광,"53,792"
75,하조대,역사관광,"50,908"
76,소노펠리체CC,레저스포츠,"50,733"
77,청령포,역사관광,"50,719"
78,한반도지형,문화관광,"50,587"
79,병방치스카이워크,문화관광,"50,361"
80,척산온천장,체험관광,"50,248"
81,애니메이션박물관,문화관광,"50,227"
82,라비에벨CC올드코스,레저스포츠,"49,969"
83,대명비발디파크메인센터,문화관광,"49,627"
84,라데나GC,레저스포츠,"49,517"
85,홍천은행나무숲,기타관광,"49,458"
86,동원썬밸리CC,레저스포츠,"49,352"
87,삼척해상케이블카장호역,기타관광,"48,839"
88,힐드로사이CC,레저스포츠,"48,794"
89,웰리힐리CC,레저스포츠,"48,551"
90,오너스GC,레저스포츠,"48,264"
91,남춘천CC,레저스포츠,"48,165"
92,세이지우드CC홍천,레저스포츠,"47,682"
93,로드힐스골프앤리조트,레저스포츠,"47,652"
94,척산온천휴양촌,체험관광,"47,310"
95,거진항,자연관광,"47,073"
96,물치항,자연관광,"46,918"
97,대명비발디파크CC,레저스포츠,"46,488"
98,화암동굴,자연관광,"46,348"
99,파가니카CC,레저스포츠,"45,751"
100,하조대전망대,문화관광,"45,717"
101,삼척해양레일바이크궁촌정거장,레저스포츠,"45,407"
102,알프스대영CC,레저스포츠,"45,353"
103,벨라스톤CC,레저스포츠,"44,906"
104,아들바위공원,문화관광,"44,425"
105,고씨동굴,자연관광,"43,058"
106,서부시장,쇼핑,"42,441"
107,외옹치해변,자연관광,"41,094"
108,화진포해변,자연관광,"40,829"
109,휘닉스스노우파크,레저스포츠,"40,764"
110,비발디파크스키월드,레저스포츠,"40,610"
111,강촌레일파크김유정역,레저스포츠,"40,502"
112,정선레일바이크,레저스포츠,"40,400"
113,평창송어축제,문화관광,"40,168"
114,삼척해상케이블카용화역,기타관광,"39,602"
115,외옹치바다향기로,레저스포츠,"39,306"
116,웰리힐리파크스노우파크,레저스포츠,"39,242"
117,하슬라아트월드,문화관광,"39,031"
118,파인리즈CC,레저스포츠,"39,030"
119,옥스필드CC,레저스포츠,"38,278"
120,한탄강CC,레저스포츠,"37,999"
121,설해원CC,레저스포츠,"37,942"
122,삼척해양레일바이크용화정거장,레저스포츠,"37,792"
123,안반데기,체험관광,"37,137"
124,하이원리조트스키장,레저스포츠,"37,116"
125,천곡황금박쥐동굴,자연관광,"37,040"
126,사천해변,자연관광,"37,038"
127,용평리조트스키장,레저스포츠,"37,030"
128,속초등대전망대,문화관광,"36,975"
129,삼척해변,자연관광,"36,960"
130,메가박스원주센트럴,문화관광,"36,891"
131,봉평전통시장,쇼핑,"36,870"
132,남애항,자연관광,"36,801"
133,설악썬밸리CC,레저스포츠,"36,198"
134,대포항수산시장,쇼핑,"36,182"
135,동해항,자연관광,"35,476"
136,수산항,자연관광,"35,057"
137,구룡사,역사관광,"34,989"
138,영진해변,자연관광,"34,289"
139,라비에벨CC듄스코스,레저스포츠,"33,941"
140,장사항,자연관광,"33,897"
141,간현관광지,문화관광,"33,872"
142,비콘힐스골프클럽,레저스포츠,"32,784"
143,해신당공원,문화관광,"32,545"
144,제이드팰리스GC,레저스포츠,"32,452"
145,파크밸리GC,레저스포츠,"32,338"
146,라마다속초호텔스파,체험관광,"32,149"
147,공지천유원지,문화관광,"31,813"
148,흥정계곡,자연관광,"31,138"
149,CGV춘천명동,문화관광,"31,123"
150,아야진항,자연관광,"30,693"
151,이효석문학관,문화관광,"30,246"
152,무릉계곡,자연관광,"30,208"
153,허브나라농원,체험관광,"30,154"
154,송정해변,자연관광,"29,977"
155,대진항,자연관광,"29,627"
156,청평사,역사관광,"29,119"
157,오크힐스CC,레저스포츠,"28,608"
158,황지연못,자연관광,"28,599"
159,오크밸리빌리지센터,문화관광,"28,371"
160,영랑호,자연관광,"28,028"
161,의암호스카이워크,문화관광,"27,992"
162,별마로천문대,문화관광,"27,933"
163,남항진해변,자연관광,"27,885"
164,화진포의성,역사관광,"27,879"
165,삼척중앙시장,쇼핑,"27,765"
166,수타사,역사관광,"27,739"
167,모래시계공원,문화관광,"27,671"
168,휘닉스CC,레저스포츠,"27,670"
169,강릉솔향수목원,자연관광,"27,508"
170,사천항,자연관광,"27,283"
171,서울특별시공무원수련원,레저스포츠,"27,203"
172,팔봉산국민관광지,문화관광,"27,113"
173,맹방해변,자연관광,"26,980"
174,양양국제공항,기타관광,"26,879"
175,신흥사,역사관광,"26,578"
176,경포호,자연관광,"26,375"
177,강릉선교장,역사관광,"26,340"
178,모곡밤벌유원지,문화관광,"25,905"
179,화암사,역사관광,"25,875"
180,메이플비치CC,레저스포츠,"25,646"
181,대금굴,자연관광,"25,461"
182,오대산국립공원,자연관광,"25,382"
183,춘천중앙시장,쇼핑,"25,092"
184,상원사,역사관광,"24,707"
185,CGV원주,문화관광,"24,581"
186,묵호항어시장,쇼핑,"24,576"
187,롯데시네마원주무실,문화관광,"24,500"
188,봉포해변,자연관광,"24,457"
189,묵호등대,문화관광,"24,192"
190,헌화로,기타관광,"24,017"
191,롯데시네마남원주,문화관광,"23,979"
192,골든비치CC,레저스포츠,"23,943"
193,춘천꿈자람어린이공원,문화관광,"23,563"
194,추암해변,자연관광,"23,393"
195,원주레일파크,레저스포츠,"23,273"
196,심곡항,자연관광,"23,229"
197,구봉산전망대,문화관광,"22,959"
198,청초호호수공원,문화관광,"22,786"
199,발왕산케이블카,레저스포츠,"22,763"
200,하이원CC,레저스포츠,"22,542"
201,참소리축음기에디슨과학박물관,문화관광,"22,375"
202,속초시립박물관,문화관광,"22,352"
203,가진항,자연관광,"22,249"
204,설악해변,자연관광,"22,231"
205,미시령옛길,기타관광,"22,145"
206,건봉사,역사관광,"22,071"
207,CGV강릉,문화관광,"21,986"
208,통일전망대관광안내소,기타관광,"21,917"
209,메가박스속초,문화관광,"21,814"
210,델피노CC,레저스포츠,"21,808"
211,정동진레일바이크,레저스포츠,"21,762"
212,새천년해안도로,기타관광,"21,595"
213,갈남항,자연관광,"21,473"
214,설악산소공원,문화관광,"21,471"
215,자작나무숲,자연관광,"21,326"
216,경포아쿠아리움,문화관광,"21,289"
217,공현진항,자연관광,"21,100"
218,원주공항,기타관광,"21,037"
219,환선굴매표소,기타관광,"20,930"
220,노동당사,역사관광,"20,790"
221,삼포해변,자연관광,"20,664"
222,김유정문학촌,역사관광,"20,634"
223,대관령아기동물농장,체험관광,"20,134"
224,메가박스남춘천,문화관광,"20,061"
225,대관령자연휴양림,자연관광,"19,805"
226,알펜시아오션700,문화관광,"19,504"
227,이사부사자공원,문화관광,"19,183"
228,치악산국립공원구룡지구,자연관광,"19,144"
229,횡성시장,쇼핑,"19,126"
230,동호해변,자연관광,"19,111"
231,직탕폭포,자연관광,"18,663"
232,방태산자연휴양림,자연관광,"18,561"
233,장릉,역사관광,"18,484"
234,구곡폭포,자연관광,"18,475"
235,롯데시네마동해,문화관광,"18,383"
236,설악산,자연관광,"18,252"
237,옥계해변,자연관광,"18,231"
238,BNBK스프링베일GC,레저스포츠,"18,182"
239,금진항,자연관광,"18,123"
240,태백산국립공원유일사탐방지원센터,기타관광,"18,103"
241,강릉항여객터미널,기타관광,"18,028"
241,허난설헌생가터,역사관광,"18,028"
243,고성하늬라벤더팜라벤더축제,문화관광,"17,975"
244,강릉하키센터,레저스포츠,"17,882"
245,행구수변공원,문화관광,"17,860"
246,인구해변,자연관광,"17,763"
247,알펜시아CC,레저스포츠,"17,669"
248,국립춘천박물관본관,문화관광,"17,535"
249,홍천중앙시장,쇼핑,"17,528"
250,삼척장미공원,문화관광,"17,492"
251,얼라이브하트,문화관광,"17,438"
252,봉포항,자연관광,"17,436"
253,댄싱공연장,문화관광,"17,378"
254,등대해변,자연관광,"17,237"
255,돼지문화원,문화관광,"16,857"
256,청간정,역사관광,"16,757"
257,매봉산바람의언덕,기타관광,"16,712"
258,권금성,역사관광,"16,357"
259,팔봉산,자연관광,"16,332"
260,가리산자연휴양림,자연관광,"16,050"
261,국립산악박물관,문화관광,"16,040"
262,휘바핀란드,기타관광,"15,956"
263,버치힐GC,레저스포츠,"15,865"
264,정암사,역사관광,"15,836"
265,설악프라자CC,레저스포츠,"15,823"
266,미천골자연휴양림,자연관광,"15,705"
267,알펜시아700GC,레저스포츠,"15,680"
268,자유시장,쇼핑,"15,525"
269,사근진해변,자연관광,"15,461"
270,강릉오죽한옥마을,기타관광,"15,439"
271,용평워터파크,문화관광,"15,186"
272,태백산눈축제(태백산국립공원),문화관광,"15,062"
273,묵호항여객선터미널,기타관광,"14,866"
274,다이나믹메이즈속초점,문화관광,"14,767"
275,엑스포타워,문화관광,"14,757"
276,죽서루,역사관광,"14,684"
277,석탄박물관,문화관광,"14,577"
278,천진해변,자연관광,"14,363"
279,강릉아트센터,문화관광,"14,296"
280,월드온천24,체험관광,"14,183"
281,휘슬링락CC,레저스포츠,"14,119"
282,평창효석문화제,문화관광,"14,111"
283,미시령,자연관광,"13,831"
284,삼부연폭포,자연관광,"13,828"
285,동서울레스피아CC,레저스포츠,"13,785"
286,가리왕산자연휴양림,자연관광,"13,755"
287,법흥사,역사관광,"13,633"
288,순긋해변,자연관광,"13,575"
289,소양강처녀상,기타관광,"13,505"
290,사천진해변,자연관광,"13,444"
291,춘천송암레포츠타운빙상장,레저스포츠,"13,349"
292,소금강계곡,자연관광,"13,228"
293,강릉컬링센터,레저스포츠,"13,186"
294,후진항,자연관광,"13,119"
295,강릉경찰수련원,레저스포츠,"13,106"
296,용연동굴,자연관광,"12,982"
297,병지방계곡,자연관광,"12,942"
298,파인밸리CC,레저스포츠,"12,939"
299,아우라지,기타관광,"12,926"
300,소양호선착장,기타관광,"12,907"
301,용화해변,자연관광,"12,893"
302,화진포해양박물관,문화관광,"12,872"
303,용화산자연휴양림,자연관광,"12,833"
304,알펜시아스키점프센터,레저스포츠,"12,829"
305,강원종합박물관,문화관광,"12,737"
306,아바이마을갯배중앙동선착장,기타관광,"12,585"
307,박경리문학공원,문화관광,"12,573"
308,덕풍계곡,자연관광,"12,529"
309,김삿갓계곡,자연관광,"12,500"
310,DMZ박물관,문화관광,"12,390"
311,오크크릭GC,레저스포츠,"12,389"
312,소돌해변,자연관광,"12,301"
313,KT&G상상마당춘천아트센터,문화관광,"12,298"
314,오죽헌시립박물관,문화관광,"12,291"
315,정암해변,자연관광,"12,251"
316,척산족욕공원,문화관광,"12,234"
317,바우지움미술관,문화관광,"12,229"
318,오투CC,레저스포츠,"12,215"
319,국립횡성숲체원,자연관광,"12,187"
319,조경철천문대,문화관광,"12,187"
321,삼봉자연휴양림,자연관광,"12,185"
322,홍천강꽁꽁축제,문화관광,"12,172"
323,블랙밸리CC,레저스포츠,"12,155"
324,곰배령(산림청_진동리구간),자연관광,"12,074"
325,집다리골자연휴양림,자연관광,"12,047"
326,검룡소,자연관광,"11,967"
327,춘천풍물시장,쇼핑,"11,899"
328,백담계곡,자연관광,"11,870"
329,남애3리해변,자연관광,"11,805"
330,샌드파인GC,레저스포츠,"11,773"
331,추암출렁다리,기타관광,"11,641"
332,삼척맹방유채꽃축제,문화관광,"11,626"
333,인제빙어축제,문화관광,"11,625"
334,수로부인헌화공원,문화관광,"11,601"
335,동해해양경찰수련원,레저스포츠,"11,451"
336,물치해변,자연관광,"11,425"
337,민둥산,자연관광,"11,286"
338,강남축구공원,문화관광,"11,245"
339,필례약수,자연관광,"11,235"
340,용평GC,레저스포츠,"11,234"
341,이승만별장,기타관광,"11,178"
342,횡성베이스볼파크,문화관광,"11,159"
343,이상원미술관,문화관광,"11,141"
344,자작도해변,자연관광,"11,129"
345,남부시장,쇼핑,"10,951"
346,사북시장,쇼핑,"10,934"
347,치악산국립공원,자연관광,"10,876"
348,알펜시아스키점핑타워,문화관광,"10,830"
349,삼척번개시장,쇼핑,"10,823"
350,365세이프타운,문화관광,"10,759"
351,북평민속시장,쇼핑,"10,738"
352,춘천문화예술회관,문화관광,"10,565"
353,강원도립화목원,자연관광,"10,496"
354,국립청태산자연휴양림,자연관광,"10,338"
355,연곡해변,자연관광,"10,317"
356,평창올림픽시장,쇼핑,"10,300"
357,에콜리안정선CC,레저스포츠,"10,294"
358,어민수산시장,쇼핑,"10,279"
359,영진항,자연관광,"10,246"
360,수타사계곡,자연관광,"10,222"
361,이승복기념관,문화관광,"10,144"
362,임해자연휴양림,자연관광,"10,086"
363,태양의후예촬영지태백세트장,문화관광,"10,058"
364,태기산,자연관광,"10,025"
365,금진해변,자연관광,"9,994"
366,다이소속초본점,쇼핑,"9,906"
367,오대산,자연관광,"9,888"
368,호산항,자연관광,"9,851"
369,한계령,자연관광,"9,850"
370,초곡용굴촛대바위길,기타관광,"9,839"
371,어달해변,자연관광,"9,828"
372,송이밸리자연휴양림,자연관광,"9,720"
373,장호해변,자연관광,"9,670"
374,원주백운산자연휴양림,자연관광,"9,661"
375,오색온천,체험관광,"9,571"
376,메가박스원주,문화관광,"9,564"
377,용대자연휴양림,자연관광,"9,556"
378,센추리21CC퍼블릭,레저스포츠,"9,545"
379,정선알파인경기장,레저스포츠,"9,466"
380,황지자유시장,쇼핑,"9,449"
381,다이소원주무실점,쇼핑,"9,423"
382,의상대,역사관광,"9,392"
383,영월중앙시장,쇼핑,"9,371"
384,이효석생가,역사관광,"9,324"
385,속초엑스포월드,문화관광,"9,312"
386,안인해변,자연관광,"9,289"
387,박수근미술관,문화관광,"9,234"
388,커피커퍼박물관,문화관광,"9,206"
389,치악산자연휴양림,자연관광,"9,137"
390,안인항,자연관광,"9,034"
391,다이소원주혁신점,쇼핑,"9,017"
392,태백해바라기축제,문화관광,"8,926"
393,설악항활어판매센터,쇼핑,"8,811"
394,평창백일홍축제,문화관광,"8,809"
395,멍에전망대,문화관광,"8,701"
396,토이로봇관,문화관광,"8,649"
397,초곡항,자연관광,"8,632"
398,아라리촌,역사관광,"8,622"
399,육림랜드,문화관광,"8,541"
400,강원도탄광문화촌,기타관광,"8,510"
401,화암약수,자연관광,"8,506"
402,민둥산억새꽃축제,문화관광,"8,498"
403,국립평창청소년수련원,레저스포츠,"8,455"
404,프리미엄아울렛,쇼핑,"8,444"
405,원주공군체력단련장,레저스포츠,"8,394"
406,담터계곡,자연관광,"8,385"
407,장미공원,문화관광,"8,380"
408,아라나비강릉항점,레저스포츠,"8,365"
409,옥산가,기타관광,"8,308"
410,구문소,기타관광,"8,277"
411,방동약수,자연관광,"8,259"
412,진부전통시장,쇼핑,"8,152"
413,강릉농산물도매시장,쇼핑,"8,075"
414,등명해변,자연관광,"8,068"
415,치악예술관,문화관광,"8,049"
416,강릉통일공원함정전시관,문화관광,"7,961"
417,동쪽바다중앙시장,쇼핑,"7,915"
418,용평루지,레저스포츠,"7,892"
419,한국여성수련원,레저스포츠,"7,876"
420,횡성한우축제,문화관광,"7,853"
421,십이선녀탕계곡,자연관광,"7,814"
422,현지사,역사관광,"7,769"
423,두타연휴관중,자연관광,"7,742"
424,델피노골프앤리조트눈썰매장,레저스포츠,"7,738"
425,주전골,자연관광,"7,717"
426,병방치짚와이어,레저스포츠,"7,700"
427,춘천인형극장,문화관광,"7,692"
428,향호해변,자연관광,"7,684"
429,북평종합시장,쇼핑,"7,672"
430,간이해변,자연관광,"7,670"
431,HN원주어시장,쇼핑,"7,668"
432,기사문항,자연관광,"7,652"
433,강릉경포벚꽃잔치,문화관광,"7,647"
434,석봉도자기미술관,문화관광,"7,643"
435,원주한지테마파크,문화관광,"7,590"
436,다이소강릉교동점,쇼핑,"7,558"
437,두타산자연휴양림,자연관광,"7,513"
438,설악해맞이공원,문화관광,"7,492"
439,복주산자연휴양림,자연관광,"7,460"
440,태백고원자연휴양림,자연관광,"7,367"
441,필례게르마늄온천,체험관광,"7,355"
442,춘천막국수체험박물관,문화관광,"7,311"
443,청시행비치,레저스포츠,"7,266"
444,테디베어팜,문화관광,"7,179"
445,태백산국립공원,자연관광,"7,176"
446,강촌레일파크경강역,레저스포츠,"7,127"
447,경포호수광장,문화관광,"7,107"
448,성필립보생태마을,체험관광,"6,994"
449,설악산자생식물원,문화관광,"6,981"
450,오산리선사유적박물관,문화관광,"6,960"
451,태기산풍력발전단지,기타관광,"6,953"
452,기사문해변,자연관광,"6,944"
453,용소계곡,자연관광,"6,903"
454,법수치계곡,자연관광,"6,892"
455,아남프라자,쇼핑,"6,882"
456,원주허브팜,체험관광,"6,796"
457,승리전망대,레저스포츠,"6,785"
458,동강시스타CC,레저스포츠,"6,753"
459,횡성서초휴양소,레저스포츠,"6,730"
460,설악항,자연관광,"6,705"
461,강원도교직원수련원,레저스포츠,"6,702"
462,쏠비치삼척오션플레이,문화관광,"6,694"
463,대진항수산시장,쇼핑,"6,677"
464,삼척장미축제,문화관광,"6,613"
465,만항재 코스,기타관광,"6,543"
466,골든몽키,레저스포츠,"6,537"
467,백도해변,자연관광,"6,516"
468,방아다리약수터,자연관광,"6,442"
468,아침가리계곡,자연관광,"6,442"
470,친절한수상레저,레저스포츠,"6,441"
471,동산해변,자연관광,"6,393"
472,관동하키센터,레저스포츠,"6,365"
473,강릉스피드스케이팅경기장,레저스포츠,"6,337"
474,대관령눈꽃축제,문화관광,"6,314"
475,대관령옛길,레저스포츠,"6,309"
475,다이소속초중앙점,쇼핑,"6,309"
475,대진항,자연관광,"6,309"
478,멍비치,자연관광,"6,296"
479,소금산,자연관광,"6,281"
480,테디베어뮤지엄설악,문화관광,"6,274"
481,등명락가사,역사관광,"6,241"
482,삼탄아트마인,문화관광,"6,194"
483,동강전망자연휴양림,자연관광,"6,188"
484,원주시농산물공영도매시장,쇼핑,"6,187"
485,마곡유원지,문화관광,"6,162"
486,춘천숲자연휴양림,자연관광,"6,159"
487,춘천중도물레길,레저스포츠,"6,134"
488,동산항,자연관광,"6,115"
489,횡성호수길5구간,레저스포츠,"6,109"
490,숲속에동물농장,체험관광,"6,107"
491,낙산대체력단련장,레저스포츠,"6,029"
492,도계유리나라,기타관광,"5,997"
493,지경해변,자연관광,"5,990"
494,검봉산자연휴양림,자연관광,"5,948"
494,선돌관광지,문화관광,"5,948"
496,덕산해변,자연관광,"5,935"
497,오산해변,자연관광,"5,929"
498,청초호유원지,문화관광,"5,890"
499,논골담길,기타관광,"5,875"
500,영랑호CC,레저스포츠,"5,838"
